epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0102,1.3522,2.15433,1.50672,0.41884,0.2568,0.13716,0.10063,1.84908,4.28302,2.32744,0.000164251,0.000164251,0.067314
2,87.1344,1.35101,1.74294,1.54126,0.43652,0.37017,0.33573,0.21545,1.45472,2.20084,1.83166,0.000330877,0.000330877,0.0341473
3,125.886,1.36371,1.74901,1.56187,0.37525,0.34481,0.43949,0.17877,1.71842,3.07338,2.12515,0.000497337,0.000497337,0.000980428
4,163.643,1.36176,1.74227,1.55774,0.55011,0.2534,0.2091,0.15147,1.78793,3.75868,2.31049,0.000499439,0.000499439,0.000499439
5,201.444,1.37524,1.74252,1.58399,0.51164,0.40023,0.32448,0.2278,1.50799,2.79589,1.86325,0.000499004,0.000499004,0.000499004
6,239.745,1.30815,1.64244,1.52924,0.79255,0.36895,0.4496,0.31954,1.26152,2.39299,1.68454,0.000498444,0.000498444,0.000498444
7,277.861,1.28776,1.57812,1.51718,0.46513,0.44349,0.39652,0.28465,1.31155,1.84586,1.61922,0.00049776,0.00049776,0.00049776
8,315.734,1.28395,1.56999,1.51361,0.52489,0.5687,0.57457,0.37296,1.18326,1.6672,1.57623,0.000496953,0.000496953,0.000496953
9,353.953,1.25048,1.52192,1.48796,0.78008,0.54644,0.59843,0.38164,1.27867,1.83637,1.61968,0.000496023,0.000496023,0.000496023
10,392.346,1.25857,1.52354,1.49033,0.83096,0.3125,0.37528,0.29537,1.21628,2.23312,1.53928,0.00049497,0.00049497,0.00049497
11,430.346,1.22512,1.43362,1.46822,0.78462,0.35012,0.4565,0.31333,1.25672,1.69425,1.57126,0.000493795,0.000493795,0.000493795
12,468.24,1.21124,1.42429,1.45965,0.48058,0.58154,0.58157,0.43576,1.08408,1.39976,1.50554,0.000492498,0.000492498,0.000492498
13,506.376,1.19931,1.39298,1.45148,0.76704,0.36224,0.49343,0.36016,1.12861,1.63548,1.5544,0.000491081,0.000491081,0.000491081
14,544.372,1.18292,1.36318,1.42598,0.82676,0.45978,0.52725,0.38088,1.18429,1.41096,1.50653,0.000489543,0.000489543,0.000489543
15,582.352,1.17182,1.34319,1.4372,0.6938,0.45406,0.6287,0.46261,1.04264,1.41457,1.43608,0.000487886,0.000487886,0.000487886
16,620.724,1.17189,1.33995,1.42818,0.47828,0.53589,0.58661,0.44265,1.09422,1.92673,1.45764,0.000486111,0.000486111,0.000486111
17,658.682,1.1461,1.30558,1.39154,0.62429,0.53368,0.68325,0.46034,1.13894,1.33544,1.53,0.000484218,0.000484218,0.000484218
18,696.67,1.15446,1.27312,1.41296,0.7583,0.66977,0.68448,0.49243,1.13724,1.33406,1.44996,0.000482208,0.000482208,0.000482208
19,734.94,1.1278,1.26218,1.38888,0.49591,0.67625,0.66684,0.43073,1.16518,1.5715,1.50766,0.000480083,0.000480083,0.000480083
20,773.015,1.10759,1.20478,1.37847,0.59075,0.44398,0.59903,0.4525,1.07973,1.48406,1.45273,0.000477843,0.000477843,0.000477843
21,810.9,1.11308,1.18086,1.36441,0.76862,0.56766,0.6165,0.45448,1.08773,1.28163,1.44308,0.00047549,0.00047549,0.00047549
22,849.008,1.11074,1.15492,1.35268,0.60752,0.80655,0.76363,0.48418,0.99937,1.51437,1.38641,0.000473024,0.000473024,0.000473024
23,887.004,1.1082,1.18281,1.36919,0.86837,0.52563,0.65928,0.45518,1.05112,1.19817,1.47846,0.000470447,0.000470447,0.000470447
24,925.019,1.10463,1.15411,1.37203,0.61803,0.65519,0.66087,0.48605,0.98139,1.11324,1.38626,0.000467761,0.000467761,0.000467761
25,962.988,1.08951,1.12206,1.36171,0.81836,0.40794,0.62489,0.48046,1.07031,1.49946,1.50884,0.000464966,0.000464966,0.000464966
26,1000.93,1.11258,1.16008,1.37621,0.71562,0.56053,0.61204,0.44568,1.04076,1.25975,1.43209,0.000462064,0.000462064,0.000462064
27,1038.71,1.082,1.10854,1.35843,0.59048,0.65538,0.61153,0.43615,0.95965,1.17313,1.36756,0.000459057,0.000459057,0.000459057
28,1076.68,1.07954,1.10997,1.35034,0.91332,0.44919,0.71738,0.49793,1.03759,1.31177,1.43682,0.000455946,0.000455946,0.000455946
29,1114.91,1.04481,1.04268,1.30218,0.79132,0.54409,0.69015,0.5044,0.99694,1.14236,1.39681,0.000452732,0.000452732,0.000452732
30,1153.26,1.0751,1.08207,1.36156,0.69767,0.60544,0.65137,0.48076,0.97193,1.26296,1.41052,0.000449417,0.000449417,0.000449417
31,1191.26,1.09073,1.09635,1.34768,0.74603,0.70048,0.69977,0.55009,0.99079,1.13775,1.46533,0.000446003,0.000446003,0.000446003
32,1229.73,1.06454,1.06053,1.32501,0.81387,0.70885,0.71072,0.53636,0.97393,1.12365,1.39384,0.000442492,0.000442492,0.000442492
33,1267.72,1.04919,1.07652,1.33712,0.85901,0.43793,0.58678,0.44971,0.93824,1.14088,1.38135,0.000438885,0.000438885,0.000438885
34,1305.75,1.05243,1.06368,1.33751,0.89172,0.49682,0.6952,0.51613,0.92347,1.08175,1.32051,0.000435184,0.000435184,0.000435184
